,carat,cut,color,clarity,depth,table,price,x,y,z
0,0.23,0,1,7,61.5,55.0,326,3.95,3.98,2.43
1,0.21,1,1,6,59.8,61.0,326,3.89,3.84,2.31
3,0.29,1,5,5,62.4,58.0,334,4.2,4.23,2.63
4,0.31,3,6,7,63.3,58.0,335,4.34,4.35,2.75
5,0.24,2,6,3,62.8,57.0,336,3.94,3.96,2.48
6,0.24,2,5,2,62.3,57.0,336,3.95,3.98,2.47
7,0.26,2,4,6,61.9,55.0,337,4.07,4.11,2.53
9,0.23,2,4,4,59.4,61.0,338,4.0,4.05,2.39
10,0.3,3,6,6,64.0,55.0,339,4.25,4.28,2.73
11,0.23,0,6,4,62.8,56.0,340,3.93,3.9,2.46
12,0.22,1,2,6,60.4,61.0,342,3.88,3.84,2.33
13,0.31,0,6,7,62.2,54.0,344,4.35,4.37,2.71
14,0.2,1,1,7,60.2,62.0,345,3.79,3.75,2.27
15,0.32,1,1,9,60.9,58.0,345,4.38,4.42,2.68
16,0.3,0,5,7,62.0,54.0,348,4.31,4.34,2.68
17,0.3,3,6,6,63.4,54.0,351,4.23,4.29,2.7
18,0.3,3,6,6,63.8,56.0,351,4.23,4.26,2.71
19,0.3,2,6,6,62.7,59.0,351,4.21,4.27,2.66
20,0.3,3,5,7,63.3,56.0,351,4.26,4.3,2.71
21,0.23,2,1,5,63.8,55.0,352,3.85,3.92,2.48
22,0.23,2,4,4,61.0,57.0,353,3.94,3.96,2.41
23,0.31,2,6,6,59.4,62.0,353,4.39,4.43,2.62
25,0.23,2,3,3,60.4,58.0,354,3.97,4.01,2.41
26,0.24,1,5,4,62.5,57.0,355,3.97,3.94,2.47
27,0.3,2,6,5,62.2,57.0,357,4.28,4.3,2.67
28,0.23,2,0,5,60.5,61.0,357,3.96,3.97,2.4
29,0.23,2,2,4,60.9,57.0,357,3.96,3.99,2.42
30,0.23,2,2,4,60.0,57.0,402,4.0,4.03,2.41
